Duisburg, Germany
Düsseldorf, Germany
Erfurt, Germany
Erlangen, Germany
Essen, Germany
Frankfurt am Main, Germany
Freiburg im Breisgau, Germany
Fürth, Germany
Gelsenkirchen, Germany
Göttingen, Germany
Gütersloh, Germany
Hagen, Germany
Halle (Saale), Germany
Hamburg, Germany
Hamm, Germany
Hanau, Germany
